symbol,date,price
Edu,Jul 2007,27.5
Edu,Aug 2007,27.34
Edu,Sep 2007,28.04
Edu,Oct 2007,35.03
Edu,Nov 2007,32.09
Edu,Dec 2007,34
Edu,Jan 2008,31.13
Edu,Feb 2008,26.07
Edu,Mar 2008,27.21
Edu,Apr 2008,27.34
Edu,May 2008,27.25
Edu,Jun 2008,26.47
Edu,Jul 2008,24.75
Edu,Aug 2008,26.36
Edu,Sep 2008,25.78
Edu,Oct 2008,21.57
Edu,Nov 2008,19.66
Edu,Dec 2008,18.91
Edu,Jan 2009,16.63
Edu,Feb 2009,15.81
Edu,Mar 2009,17.99
Edu,Apr 2009,19.84
Edu,May 2009,20.59
Edu,Jun 2009,23.42
Edu,Jul 2009,23.18
Edu,Aug 2009,24.43
Edu,Sep 2009,25.49
Edu,Oct 2009,27.48
Edu,Nov 2009,29.27
Edu,Dec 2009,30.34
Edu,Jan 2010,28.05
Edu,Feb 2010,28.67
Edu,Mar 2010,28.8
Eco,Jan 2000,64.56
Eco,Feb 2000,68.87
Eco,Mar 2000,67
Eco,Apr 2000,55.19
Eco,May 2000,48.31
Eco,Jun 2000,36.31
Eco,Jul 2000,30.12
Eco,Aug 2000,41.5
Eco,Sep 2000,38.44
Eco,Oct 2000,36.62
Eco,Nov 2000,24.69
Eco,Dec 2000,15.56
Eco,Jan 2001,17.31
Eco,Feb 2001,10.19
Eco,Mar 2001,10.23
Eco,Apr 2001,15.78
Eco,May 2001,16.69
Eco,Jun 2001,14.15
Eco,Jul 2001,12.49
Eco,Aug 2001,8.94
Eco,Sep 2001,5.97
Eco,Oct 2001,6.98
Eco,Nov 2001,11.32
Eco,Dec 2001,10.82
Eco,Jan 2002,14.19
Eco,Feb 2002,14.1
Eco,Mar 2002,14.3
Eco,Apr 2002,16.69
Eco,May 2002,18.23
Eco,Jun 2002,16.25
Eco,Jul 2002,14.45
Eco,Aug 2002,14.94
Eco,Sep 2002,15.93
Eco,Oct 2002,19.36
Eco,Nov 2002,23.35
Eco,Dec 2002,18.89
Eco,Jan 2003,21.85
Eco,Feb 2003,22.01
Eco,Mar 2003,26.03
Eco,Apr 2003,28.69
Eco,May 2003,35.89
Eco,Jun 2003,36.32
Eco,Jul 2003,41.64
Eco,Aug 2003,46.32
Eco,Sep 2003,48.43
Eco,Oct 2003,54.43
Eco,Nov 2003,53.97
Eco,Dec 2003,52.62
Eco,Jan 2004,50.4
Eco,Feb 2004,43.01
Eco,Mar 2004,43.28
Eco,Apr 2004,43.6
Eco,May 2004,48.5
Eco,Jun 2004,54.4
Eco,Jul 2004,38.92
Eco,Aug 2004,38.14
Eco,Sep 2004,40.86
Eco,Oct 2004,34.13
Eco,Nov 2004,39.68
Eco,Dec 2004,44.29
Eco,Jan 2005,43.22
Eco,Feb 2005,35.18
Eco,Mar 2005,34.27
Eco,Apr 2005,32.36
Eco,May 2005,35.51
Eco,Jun 2005,33.09
Eco,Jul 2005,45.15
Eco,Aug 2005,42.7
Eco,Sep 2005,45.3
Eco,Oct 2005,39.86
Eco,Nov 2005,48.46
Eco,Dec 2005,47.15
Eco,Jan 2006,44.82
Eco,Feb 2006,37.44
Eco,Mar 2006,36.53
Eco,Apr 2006,35.21
Eco,May 2006,34.61
Eco,Jun 2006,38.68
Eco,Jul 2006,26.89
Eco,Aug 2006,30.83
Eco,Sep 2006,32.12
Eco,Oct 2006,38.09
Eco,Nov 2006,40.34
Eco,Dec 2006,39.46
Eco,Jan 2007,37.67
Eco,Feb 2007,39.14
Eco,Mar 2007,39.79
Eco,Apr 2007,61.33
Eco,May 2007,69.14
Eco,Jun 2007,68.41
Eco,Jul 2007,78.54
Eco,Aug 2007,79.91
Eco,Sep 2007,93.15
Eco,Oct 2007,89.15
Eco,Nov 2007,90.56
Eco,Dec 2007,92.64
Eco,Jan 2008,77.7
Eco,Feb 2008,64.47
Eco,Mar 2008,71.3
Eco,Apr 2008,78.63
Eco,May 2008,81.62
Eco,Jun 2008,73.33
Eco,Jul 2008,76.34
Eco,Aug 2008,80.81
Eco,Sep 2008,72.76
Eco,Oct 2008,57.24
Eco,Nov 2008,42.7
Eco,Dec 2008,51.28
Eco,Jan 2009,58.82
Eco,Feb 2009,64.79
Eco,Mar 2009,73.44
Eco,Apr 2009,80.52
Eco,May 2009,77.99
Eco,Jun 2009,83.66
Eco,Jul 2009,85.76
Eco,Aug 2009,81.19
Eco,Sep 2009,93.36
Eco,Oct 2009,118.81
Eco,Nov 2009,135.91
Eco,Dec 2009,134.52
Eco,Jan 2010,125.41
Eco,Feb 2010,118.4
Eco,Mar 2010,128.82
Tec,Jan 2000,100.52
Tec,Feb 2000,92.11
Tec,Mar 2000,106.11
Tec,Apr 2000,99.95
Tec,May 2000,96.31
Tec,Jun 2000,98.33
Tec,Jul 2000,100.74
Tec,Aug 2000,118.62
Tec,Sep 2000,101.19
Tec,Oct 2000,88.5
Tec,Nov 2000,84.12
Tec,Dec 2000,76.47
Tec,Jan 2001,100.76
Tec,Feb 2001,89.98
Tec,Mar 2001,86.63
Tec,Apr 2001,103.7
Tec,May 2001,100.82
Tec,Jun 2001,102.35
Tec,Jul 2001,94.87
Tec,Aug 2001,90.25
Tec,Sep 2001,82.82
Tec,Oct 2001,97.58
Tec,Nov 2001,104.5
Tec,Dec 2001,109.36
Tec,Jan 2002,97.54
Tec,Feb 2002,88.82
Tec,Mar 2002,94.15
Tec,Apr 2002,75.82
Tec,May 2002,72.97
Tec,Jun 2002,65.31
Tec,Jul 2002,63.86
Tec,Aug 2002,68.52
Tec,Sep 2002,53.01
Tec,Oct 2002,71.76
Tec,Nov 2002,79.16
Tec,Dec 2002,70.58
Tec,Jan 2003,71.22
Tec,Feb 2003,71.13
Tec,Mar 2003,71.57
Tec,Apr 2003,77.47
Tec,May 2003,80.48
Tec,Jun 2003,75.42
Tec,Jul 2003,74.28
Tec,Aug 2003,75.12
Tec,Sep 2003,80.91
Tec,Oct 2003,81.96
Tec,Nov 2003,83.08
Tec,Dec 2003,85.05
Tec,Jan 2004,91.06
Tec,Feb 2004,88.7
Tec,Mar 2004,84.41
Tec,Apr 2004,81.04
Tec,May 2004,81.59
Tec,Jun 2004,81.19
Tec,Jul 2004,80.19
Tec,Aug 2004,78.17
Tec,Sep 2004,79.13
Tec,Oct 2004,82.84
Tec,Nov 2004,87.15
Tec,Dec 2004,91.16
Tec,Jan 2005,86.39
Tec,Feb 2005,85.78
Tec,Mar 2005,84.66
Tec,Apr 2005,70.77
Tec,May 2005,70.18
Tec,Jun 2005,68.93
Tec,Jul 2005,77.53
Tec,Aug 2005,75.07
Tec,Sep 2005,74.7
Tec,Oct 2005,76.25
Tec,Nov 2005,82.98
Tec,Dec 2005,76.73
Tec,Jan 2006,75.89
Tec,Feb 2006,75.09
Tec,Mar 2006,77.17
Tec,Apr 2006,77.05
Tec,May 2006,75.04
Tec,Jun 2006,72.15
Tec,Jul 2006,72.7
Tec,Aug 2006,76.35
Tec,Sep 2006,77.26
Tec,Oct 2006,87.06
Tec,Nov 2006,86.95
Tec,Dec 2006,91.9
Tec,Jan 2007,93.79
Tec,Feb 2007,88.18
Tec,Mar 2007,89.44
Tec,Apr 2007,96.98
Tec,May 2007,101.54
Tec,Jun 2007,100.25
Tec,Jul 2007,105.4
Tec,Aug 2007,111.54
Tec,Sep 2007,112.6
Tec,Oct 2007,111
Tec,Nov 2007,100.9
Tec,Dec 2007,103.7
Tec,Jan 2008,102.75
Tec,Feb 2008,109.64
Tec,Mar 2008,110.87
Tec,Apr 2008,116.23
Tec,May 2008,125.14
Tec,Jun 2008,114.6
Tec,Jul 2008,123.74
Tec,Aug 2008,118.16
Tec,Sep 2008,113.53
Tec,Oct 2008,90.24
Tec,Nov 2008,79.65
Tec,Dec 2008,82.15
Tec,Jan 2009,89.46
Tec,Feb 2009,90.32
Tec,Mar 2009,95.09
Tec,Apr 2009,101.29
Tec,May 2009,104.85
Tec,Jun 2009,103.01
Tec,Jul 2009,116.34
Tec,Aug 2009,117
Tec,Sep 2009,118.55
Tec,Oct 2009,119.54
Tec,Nov 2009,125.79
Tec,Dec 2009,130.32
Tec,Jan 2010,121.85
Tec,Feb 2010,127.16
Tec,Mar 2010,125.55
Sport,Jan 2000,25.94
Sport,Feb 2000,28.66
Sport,Mar 2000,33.95
Sport,Apr 2000,31.01
Sport,May 2000,21
Sport,Jun 2000,26.19
Sport,Jul 2000,25.41
Sport,Aug 2000,30.47
Sport,Sep 2000,12.88
Sport,Oct 2000,9.78
Sport,Nov 2000,8.25
Sport,Dec 2000,7.44
Sport,Jan 2001,10.81
Sport,Feb 2001,9.12
Sport,Mar 2001,11.03
Sport,Apr 2001,12.74
Sport,May 2001,9.98
Sport,Jun 2001,11.62
Sport,Jul 2001,9.4
Sport,Aug 2001,9.27
Sport,Sep 2001,7.76
Sport,Oct 2001,8.78
Sport,Nov 2001,10.65
Sport,Dec 2001,10.95
Sport,Jan 2002,12.36
Sport,Feb 2002,10.85
Sport,Mar 2002,11.84
Sport,Apr 2002,12.14
Sport,May 2002,11.65
Sport,Jun 2002,8.86
Sport,Jul 2002,7.63
Sport,Aug 2002,7.38
Sport,Sep 2002,7.25
Sport,Oct 2002,8.03
Sport,Nov 2002,7.75
Sport,Dec 2002,7.16
Sport,Jan 2003,7.18
Sport,Feb 2003,7.51
Sport,Mar 2003,7.07
Sport,Apr 2003,7.11
Sport,May 2003,8.98
Sport,Jun 2003,9.53
Sport,Jul 2003,10.54
Sport,Aug 2003,11.31
Sport,Sep 2003,10.36
Sport,Oct 2003,11.44
Sport,Nov 2003,10.45
Sport,Dec 2003,10.69
Sport,Jan 2004,11.28
Sport,Feb 2004,11.96
Sport,Mar 2004,13.52
Sport,Apr 2004,12.89
Sport,May 2004,14.03
Sport,Jun 2004,16.27
Sport,Jul 2004,16.17
Sport,Aug 2004,17.25
Sport,Sep 2004,19.38
Sport,Oct 2004,26.2
Sport,Nov 2004,33.53
Sport,Dec 2004,32.2
Sport,Jan 2005,38.45
Sport,Feb 2005,44.86
Sport,Mar 2005,41.67
Sport,Apr 2005,36.06
Sport,May 2005,39.76
Sport,Jun 2005,36.81
Sport,Jul 2005,42.65
Sport,Aug 2005,46.89
Sport,Sep 2005,53.61
Sport,Oct 2005,57.59
Sport,Nov 2005,67.82
Sport,Dec 2005,71.89
Sport,Jan 2006,75.51
Sport,Feb 2006,68.49
Sport,Mar 2006,62.72
Sport,Apr 2006,70.39
Sport,May 2006,59.77
Sport,Jun 2006,57.27
Sport,Jul 2006,67.96
Sport,Aug 2006,67.85
Sport,Sep 2006,76.98
Sport,Oct 2006,81.08
Sport,Nov 2006,91.66
Sport,Dec 2006,84.84
Sport,Jan 2007,85.73
Sport,Feb 2007,84.61
Sport,Mar 2007,92.91
Sport,Apr 2007,99.8
Sport,May 2007,121.19
Sport,Jun 2007,122.04
Sport,Jul 2007,131.76
Sport,Aug 2007,138.48
Sport,Sep 2007,153.47
Sport,Oct 2007,189.95
Sport,Nov 2007,182.22
Sport,Dec 2007,198.08
Sport,Jan 2008,135.36
Sport,Feb 2008,125.02
Sport,Mar 2008,143.5
Sport,Apr 2008,173.95
Sport,May 2008,188.75
Sport,Jun 2008,167.44
Sport,Jul 2008,158.95
Sport,Aug 2008,169.53
Sport,Sep 2008,113.66
Sport,Oct 2008,107.59
Sport,Nov 2008,92.67
Sport,Dec 2008,85.35
Sport,Jan 2009,90.13
Sport,Feb 2009,89.31
Sport,Mar 2009,105.12
Sport,Apr 2009,125.83
Sport,May 2009,135.81
Sport,Jun 2009,142.43
Sport,Jul 2009,163.39
Sport,Aug 2009,168.21
Sport,Sep 2009,185.35
Sport,Oct 2009,188.5
Sport,Nov 2009,199.91
Sport,Dec 2009,210.73
Sport,Jan 2010,192.06
Sport,Feb 2010,204.62
Sport,Mar 2010,223.02
